case,phi1_center_deg,phi1_lo_deg,phi1_hi_deg,n_total,phi2_deg_median,phi2_deg_width,phi2_deg_nvalid,distance_kpc_median,distance_kpc_width,distance_kpc_nvalid,pm1_masyr_median,pm1_masyr_width,pm1_masyr_nvalid,pm2_masyr_median,pm2_masyr_width,pm2_masyr_nvalid,rv_kms_median,rv_kms_width,rv_kms_nvalid
S_control,-59.0,-60.0,-58.0,2614,-0.587491335892208,0.261897538492774,2614,7.00431770665739,0.04032628667106619,2614,-13.552967409317024,0.10157645769082244,2614,-3.7587231874453524,0.029079938846374748,2614,104.1586214341276,4.681326716223054,2614
S_control,-57.0,-58.0,-56.0,3619,-0.5338135998213078,0.2519309850682366,3619,6.993178882896153,0.04600560705797841,3619,-13.687518896594735,0.11532825455397376,3619,-3.736431032544888,0.02858770430355085,3619,91.37268496581822,4.866665352312625,3619
S_control,-55.0,-56.0,-54.0,4603,-0.4649390741222497,0.2497204651453326,4603,6.9884528985735335,0.04504184578223588,4603,-13.790388959584089,0.11093589748952713,4603,-3.7099510168740846,0.027502405250098737,4603,78.5076277482342,4.936731621833405,4603
S_control,-53.0,-54.0,-52.0,5285,-0.4076612470698507,0.24331944333796687,5285,6.992550549248134,0.04089922532990564,5285,-13.86999460076521,0.09929885159969046,5285,-3.6786906462612894,0.027378391336581136,5285,65.38760984089785,4.956519247546053,5285
S_control,-51.0,-52.0,-50.0,5957,-0.33565659106840007,0.23988358644546998,5957,7.009823367994625,0.03843471038670343,5957,-13.905633951158999,0.09032179130008933,5957,-3.6410656530181207,0.027143303560492257,5957,52.27553049160086,5.0272570186451855,5957
S_control,-49.0,-50.0,-48.0,6053,-0.26978220346232923,0.23840396042175302,6053,7.032426500312719,0.039273990082154514,6053,-13.914880902561132,0.09363290880006542,6053,-3.6006371606980956,0.02711164725752407,6053,38.747533927366234,5.0360313797671505,6053
S_control,-47.0,-48.0,-46.0,6579,-0.23382511818284718,0.25183561358154344,6579,7.054886899054564,0.04504553853970456,6579,-13.914442615201848,0.1077049783359844,6579,-3.557249325295116,0.028522010830107945,6579,25.55153236351949,4.905371509557469,6579
S_control,-45.0,-46.0,-44.0,6874,-0.21389953693193312,0.2640822101106905,6874,7.0802500827314,0.03950833497452441,6874,-13.899610048922586,0.09174381918185746,6874,-3.510718050044492,0.026063164428484824,6874,12.42653240433765,4.9065740871318795,6874
S_control,-43.0,-44.0,-42.0,6588,-0.209715925496795,0.2782471129754332,6588,7.121102868912393,0.038654170464122256,6588,-13.838481985097047,0.08482253321885012,6588,-3.4576422882664644,0.026008312424601908,6588,-0.673970237429464,4.893829388551353,6588
S_control,-41.0,-42.0,-40.0,5157,-0.22346561092128966,0.2711563698432626,5157,7.156825793477053,0.04591510815810761,5157,-13.783259365017308,0.10362831234838471,5157,-3.4070147195090037,0.027814442773613696,5157,-13.463405111877245,4.869902799560746,5157
S_control,-39.0,-40.0,-38.0,6603,-0.23647929340615775,0.2256612611355747,6603,7.201340952641681,0.046192103264880296,6603,-13.690947464576972,0.11003566611851635,6603,-3.3530417781267228,0.03323972146247683,6603,-28.867841859455865,4.743160361739537,6603
S_control,-37.0,-38.0,-36.0,10012,-0.19078310361066841,0.20648633758092555,10012,7.26959086728873,0.03766633025629087,10012,-13.539448217960555,0.08306057081381753,10012,-3.288946271739583,0.028973461551072277,10012,-40.75316378150721,4.60365926161395,10012
S_control,-35.0,-36.0,-34.0,6027,-0.24796621325392373,0.2218818192721482,6027,7.3143065954768,0.040415887352878974,6027,-13.442070797911825,0.08588116769804927,6027,-3.2368491491674796,0.025766680514528077,6027,-52.24450357185238,4.510094329694113,6027
S_control,-33.0,-34.0,-32.0,4909,-0.3083378492833787,0.2354777743576605,4909,7.365668904611866,0.051770681331432734,4909,-13.314353237430492,0.11057890494305418,4909,-3.182516527616935,0.035515274927823366,4909,-67.48548204469891,5.070019855628428,4909
