case,density_log_peak,density_log_rms,density_log_peak_phi1,phi2_deg_peak,phi2_deg_rms,phi2_deg_peak_phi1,phi2_deg_peak_Z,phi2_deg_rms_Z,distance_kpc_peak,distance_kpc_rms,distance_kpc_peak_phi1,distance_kpc_peak_Z,distance_kpc_rms_Z,pm1_masyr_peak,pm1_masyr_rms,pm1_masyr_peak_phi1,pm1_masyr_peak_Z,pm1_masyr_rms_Z,pm2_masyr_peak,pm2_masyr_rms,pm2_masyr_peak_phi1,pm2_masyr_peak_Z,pm2_masyr_rms_Z,rv_kms_peak,rv_kms_rms,rv_kms_peak_phi1,rv_kms_peak_Z,rv_kms_rms_Z
G1,0.4341383656844015,0.1264139884549857,-37.0,0.1300428861029682,0.04860871408777198,-31.0,30.243842429001205,9.20114955869476,0.03803100975574658,0.018470200466348764,-31.0,34.81848765499499,15.793876772402788,0.06287570458532166,0.03470565358103286,-31.0,27.939336204185842,14.518664872070287,0.024917550249189624,0.008984144420321489,-31.0,35.398177781667826,13.274522825345402,2.5567638542863733,1.075334507832607,-34.0,24.335004439237053,8.438515241095846
G2,0.5436875848503143,0.15235458429063278,-37.0,0.1367216102285969,0.05373047384139615,-31.0,33.76881816566044,10.227270614117137,0.03709410972935423,0.02241430467563952,-31.0,38.277202866225224,19.620314531142974,0.07594702383375918,0.04292238144067749,-41.0,32.12680413108058,17.606401972126765,0.023726511884721635,0.009476112084377089,-31.0,36.28110835768177,13.988229309359433,2.9336486248335234,1.2579099468740396,-34.0,24.431228750118603,9.097747251346687
G3,0.5479975648002904,0.15302454073680144,-37.0,0.1364226776575676,0.05396675817062518,-31.0,33.551333632068285,10.234522456388119,0.036990665585182825,0.02248773852971055,-31.0,37.7842103480638,19.568157891232616,0.0763956727052193,0.04304992538911891,-41.0,32.866484959641085,17.75663981474233,0.023690559908088993,0.00952029750837037,-31.0,36.981910470726,14.112481739387215,2.9339923077717884,1.2603876624461479,-34.0,23.94486972196801,8.965003835322982
G4,0.3299811639126888,0.11170867422971392,-37.0,0.11348704870971105,0.04290698059093602,-31.0,26.136530770091166,7.751824980290933,0.03415537528532209,0.01983790919363175,-31.0,32.48423710582286,17.9143122371772,0.07574949682010157,0.04064291261394831,-41.0,32.78083764838863,17.190222734038354,0.023750282223930608,0.007584727399063223,-31.0,32.966525581176874,11.341020282202859,2.280556123352568,0.8739153997936424,-34.0,19.418819194376304,6.67381559506882
G5,0.335134737544725,0.11240333147189352,-37.0,0.11378064652083493,0.04314656621053936,-31.0,27.26427691180065,7.93835772054398,0.034669083846370796,0.01993293936306898,-31.0,32.56965900682442,17.936113311478696,0.07544986731520176,0.04076040352110063,-41.0,34.11563156106757,17.263429784092775,0.02376730331997834,0.0076242056699763324,-31.0,31.674251685688287,11.26921804782679,2.3002542699709636,0.8787209583068705,-34.0,19.437490345330854,6.640074692905594
