observable,peak_abs_response,peak_phi1_deg,peak_z_abs
phi2_deg,0.06322114967026032,-41.0,7.814663397017831
distance_kpc,0.026716715535619606,-47.0,27.134705112361807
pm1_masyr,0.061612939048169224,-55.0,21.02226079871024
pm2_masyr,0.017030167965607745,-13.0,29.701683727877658
rv_kms,0.4771534857805477,-35.0,4.086590717211563
