phi1_deg,response_phi2_deg,response_distance_kpc,response_pm1_masyr,response_pm2_masyr,response_rv_kms
-79.0,,,,,
-77.0,0.10296339445501124,-0.01821207538969638,-0.03617818054391897,-0.014430636355814208,-0.4017593273008515
-75.0,0.04231666210052132,-0.015364433360331553,-0.02404567921904288,-0.0025147265395024654,0.524008260932959
-73.0,-0.0007941850779087378,-0.01825942739219677,-0.03509833738846346,-0.007676618672643798,0.1825374416537784
-71.0,0.02720793697867152,-0.019262612170196647,-0.05562210266497658,-0.004619552033351848,-0.42410404000489166
-69.0,-0.0033619053654474484,-0.022567769707266372,-0.0415354310315621,-0.004261782940919723,0.34593344095404177
-67.0,-0.0030604766000777994,-0.020801179425750327,-0.050602751936688506,-0.0027659158608446255,-0.20551981388635454
-65.0,0.0050966297513028724,-0.02127055014554191,-0.046535897833337,-0.004820046684035795,0.1414560734875181
-63.0,-0.008211329174009574,-0.02274588203624095,-0.050652024417075836,-0.004879176667442753,-0.14276737615617208
-61.0,-0.010213737692879477,-0.024089694561007846,-0.05508668568643671,-0.00516004451951213,-0.2703763109027193
-59.0,-0.022045916384383246,-0.023297054868913314,-0.056095401941773204,-0.0048235310718549584,-0.00511966187895041
-57.0,-0.0166201437432838,-0.02648753019181882,-0.058470724807980545,-0.006890054527429967,0.010015365306912827
-55.0,-0.033595581981424705,-0.025633171865857562,-0.061612939048169224,-0.006944974696438955,-0.0426584151712035
-53.0,-0.025859365559875946,-0.023543173703810538,-0.05356701240492612,-0.006668792576498106,-0.1229136227208727
-51.0,-0.03343854488097514,-0.02290684473428861,-0.050374079655160386,-0.007355343606691989,0.026239520106955183
-49.0,-0.04138331154527963,-0.025158300117905874,-0.055078931264093356,-0.00910690350307819,-0.03465657924830623
-47.0,-0.05953652495060002,-0.026716715535619606,-0.06026554346029123,-0.009464370614679751,-0.004726026231008262
-45.0,-0.05615425164755988,-0.021600681689969647,-0.04747307356250552,-0.008570460261818624,-0.03428335038528729
-43.0,-0.05151804789564399,-0.0201160500695714,-0.04493547159621514,-0.008235180214277271,0.04101952918675966
-41.0,-0.06322114967026032,-0.022458819871077118,-0.05059739410136288,-0.010389911265914709,-0.027469912972255983
-39.0,-0.019294205338806047,-0.007925314701228814,-0.015710910010687584,-0.005904012362663469,-0.05033729621844785
-37.0,-0.004535324495153037,-0.004313012041746056,-0.00911432588127603,-0.0014720900260258851,0.20506995853379095
-35.0,-0.016368476219636163,-0.006526725061677396,-0.012829315473119607,-0.0016162142742643937,-0.4771534857805477
-33.0,0.000992496956570721,0.0002305925441392631,0.00276979920339393,0.00011470250977518859,0.08476815949622107
-31.0,0.020710394354476136,0.006693852524572996,0.018318525909117866,0.006176757493132623,-0.36325127363274134
-29.0,-0.0018653317599496844,0.00062740013925211,0.0026856803361621218,0.0004948636505939241,-0.18363143814795535
-27.0,-0.013429367555827298,-0.0038651662231350414,-0.0061723934623678645,-0.002017571377097127,0.006052648133049843
-25.0,-0.021924396998069473,-0.007949835682547146,-0.013715157384933008,-0.0038818231388453306,0.23415233602197816
-23.0,-0.00010394217581041754,-0.0018279812063308754,-0.003724476039758784,-0.0005291762515051701,0.17856429979948985
-21.0,0.019401508344350726,0.0071829550009336884,0.008458372471006115,0.003050536740038634,0.2607057985428298
-19.0,0.038824187272832995,0.017496410696560716,0.02528732434072012,0.011309716167113404,0.01726804196638909
-17.0,0.05340148339182452,0.020241406614628588,0.027052403124640634,0.014818027897935515,0.05311046013972032
-15.0,0.05234474001552242,0.022389085987484236,0.028213005517178757,0.016969035372683905,0.13401883325434483
-13.0,0.044402717049680185,0.022002170229191265,0.025541127718197387,0.017030167965607745,0.1267597608980111
-11.0,0.036080133605800424,0.01798477781765584,0.01940828871017608,0.015791021367998592,0.2497406966259632
-9.0,0.033116552003455424,0.017679536678667063,0.016730934836603595,0.015045831030778611,0.2724775126296777
-7.0,0.027824826078365228,0.015232627301640989,0.015070335124313772,0.014374794726204065,0.2145497645057617
-5.0,0.015711414012016478,0.016595151902009775,0.019575834671371695,0.012357578419426751,0.006089970166271996
-3.0,0.010461406075401136,0.016245513315098492,0.014466835366718556,0.010231029467219876,0.05894666891316547
-1.0,0.005829696048480937,0.014358727726383691,0.014742772960003592,0.010286720234507385,-0.005197909764660835
1.0,-0.007521919942973687,0.010387229813163756,0.011158464806433344,0.009137083994307238,0.05630380112000921
3.0,0.002717458769578407,0.010154241413372844,0.010518985385166602,0.007563590127156683,0.16773816131490094
