observable,N_common,correlation,RMS_DM_minus_GMC,max_abs_difference,DM_peak_abs,DM_peak_phi1_deg,GMC_peak_abs,GMC_peak_phi1_deg,same_sign_fraction,rms_difference,dm_peak,dm_peak_phi1,gmc_peak,gmc_peak_phi1,n_bins
phi2_deg,30,0.4714717872382261,0.04215126639089344,0.09819251757105586,0.06322114967026032,-41.0,0.118902911925532,-31.0,0.6666666666666666,,,,,,
distance_kpc,30,0.47279147326839344,0.02041495692934501,0.03762044236655804,0.026716715535619606,-47.0,0.0359329483801929,-31.0,0.6,,,,,,
pm1_masyr,30,0.7731556739361473,0.0258843156155503,0.0486511038762405,0.061612939048169224,-55.0,0.0772688919971074,-41.0,0.6333333333333333,,,,,,
pm2_masyr,30,0.4767371510171829,0.009994928223970323,0.018335677995656052,0.017030167965607745,-13.0,0.024093482481829742,-31.0,0.7333333333333333,,,,,,
rv_kms,15,0.17445232328031413,0.4890682922010249,1.3790265048368653,1.0880058065443876,-34.0,0.8770066919211885,-30.0,0.4666666666666667,,,,,,
density_log,,0.5027436952506417,,0.2923879634891936,,,,,0.7333333333333333,0.10666168011405254,-0.19089192479566194,-41.0,-0.3660504157983915,-37.0,30
