case,phi1_deg,response_phi2_deg,valid_phi2_deg,response_distance_kpc,valid_distance_kpc,response_pm1_masyr,valid_pm1_masyr,response_pm2_masyr,valid_pm2_masyr
G1,-89.0,nan,False,nan,False,nan,False,nan,False
G1,-87.0,nan,False,nan,False,nan,False,nan,False
G1,-85.0,nan,False,nan,False,nan,False,nan,False
G1,-83.0,0.05543808799726735,False,-0.002874125933127303,False,0.015092677761654016,False,-0.001150342637103119,False
G1,-81.0,nan,False,nan,False,nan,False,nan,False
G1,-79.0,nan,False,nan,False,nan,False,nan,False
G1,-77.0,0.055709505162395034,False,-0.011962267994481302,False,-0.031344274732393984,False,-0.01012338362651688,False
G1,-75.0,0.05771352660714535,False,-0.009006305932119929,False,0.010810222340687403,False,-0.001025578721202347,False
G1,-73.0,0.04174212742331984,False,-0.008203264591403858,False,-0.01365273977532766,False,-0.000675343769581005,False
G1,-71.0,0.06686604199640556,False,-0.010369518066426053,False,-0.021865372376415948,False,-0.003705669657270594,False
G1,-69.0,0.04773547074348905,False,-0.01144783001210481,False,-0.022505238771801217,False,0.000579274855780465,False
G1,-67.0,0.04145239617883112,False,-0.011555230471476996,False,-0.03260690374596642,False,0.0008526104717465621,False
G1,-65.0,0.059124006304280496,False,-0.011472525410121115,False,-0.029106118031872796,False,-4.50846591371068e-05,False
G1,-63.0,0.0392630516589737,False,-0.011858637197192046,False,-0.026875171478391024,False,0.0007462364758077378,False
G1,-61.0,0.043034485050729265,False,-0.011615798947151923,False,-0.025216081667759127,False,0.0010806695631435659,False
G1,-59.0,0.0379049866156943,True,-0.011551961473410088,True,-0.028282835993538313,True,0.0008469932231069954,True
G1,-57.0,0.03587384967977525,True,-0.012330390447986339,True,-0.028822514844584646,True,0.002054107203533384,True
G1,-55.0,0.032242280899422715,True,-0.01200450138420539,True,-0.02932617960935957,True,0.002163115890185363,True
G1,-53.0,0.033424710044008765,True,-0.011297545838568901,True,-0.026352519165067534,True,0.002544976882936645,True
G1,-51.0,0.02662430010017619,True,-0.011136018303003148,True,-0.0253872996370319,True,0.0027989549203528696,True
G1,-49.0,0.02624762154383964,True,-0.011902540962819508,True,-0.026383398352196608,True,0.0024394582031082024,True
G1,-47.0,0.012024188045164919,True,-0.014050068882395905,True,-0.032213699515677874,True,0.002767116492486732,True
G1,-45.0,0.00505532004189066,True,-0.013027187738082091,True,-0.030083829389681682,True,0.0026099098448009173,True
G1,-43.0,-0.0004221933676842593,True,-0.014557834865390973,True,-0.03313145110241322,True,0.0020293233314574444,True
G1,-41.0,-0.018850170474258715,True,-0.020367764223360396,True,-0.04534635519445729,True,-0.0014649168844833582,True
G1,-39.0,-0.02973538743750298,True,-0.01063478783492755,True,-0.022733733493579322,True,-0.0031343754258759127,True
G1,-37.0,-0.027243739055886562,True,-0.006244021054064852,True,-0.015274215868668506,True,-0.0017453524961021927,True
G1,-35.0,-0.030706187401628754,True,-9.183736800277842e-05,True,0.0015035641580638526,True,0.0027690864171336926,True
G1,-33.0,-0.01974448587930877,True,0.003867999048969395,True,0.009796831912552761,True,0.0012092139251951295,True
G1,-31.0,0.03553826303496563,True,0.018662173130225668,True,0.04378757712231085,True,0.014237264826799656,True
G1,-29.0,-0.006340041590110368,True,0.000991973942578106,True,0.004156613642672724,True,0.0005806067767606393,True
G1,-27.0,-0.032125494793971476,True,-0.005740807883763743,True,-0.008113812954819721,True,-0.003626037187039355,True
G1,-25.0,-0.037617632899962505,True,-0.010472799747978101,True,-0.01937660664558294,True,-0.005184892567951405,True
G1,-23.0,0.0009416936055027247,True,-0.0010069059361104138,True,-0.0024238294957932283,True,0.00013273306455818812,True
G1,-21.0,0.0023844242162553986,True,0.002849748934247387,True,0.004578899773944656,True,0.008958904886843921,True
G1,-19.0,0.022978060490407733,True,0.004973247410935855,True,0.008506663896625355,True,0.013302969746659787,True
G1,-17.0,0.016618977805832116,True,6.335281217850763e-05,True,0.000553837371443322,True,0.010736988485603671,True
G1,-15.0,-0.0011024877083664897,True,-0.004295622913730313,True,-0.006275408764896184,True,0.007367285297156911,True
G1,-13.0,-0.008395848276174844,True,-0.0059402831275487955,True,-0.008219451153641089,True,0.0062264400721576685,True
G1,-11.0,-0.012108745027682666,True,-0.006862517886789377,True,-0.008399385606161047,True,0.0053765168791533036,True
G1,-9.0,-0.016001450417807206,True,-0.0077105995113946335,True,-0.010604301658982962,True,0.004435437874464654,True
G1,-7.0,-0.02341425204381342,True,-0.00848761479181448,True,-0.009704916500851368,True,0.003949021963131738,True
G1,-5.0,-0.022602716941175327,True,-0.009769120695269251,True,-0.01063950437506378,True,0.003457198241357151,True
